iter	Passed	Remaining
398	118851	59872
399	119193	59596
400	119532	59319
401	119848	59029
402	120103	58710
403	120367	58396
404	120651	58091
405	120983	57809
406	121286	57514
407	121637	57241
408	121979	56963
409	122298	56674
410	122579	56368
411	122854	56059
412	123208	55787
413	123529	55498
414	123795	55186
415	124052	54869
416	124317	54556
417	124568	54237
418	124841	53928
419	125090	53610
420	125346	53294
421	125608	52981
422	125863	52666
423	126148	52363
424	126450	52067
425	126708	51754
426	126974	51444
427	127235	51131
428	127511	50826
429	127778	50517
430	128048	50209
431	128277	49885
432	128535	49573
433	128784	49258
434	129040	48946
435	129315	48641
436	129569	48329
437	129801	48008
438	130056	47697
439	130322	47389
440	130584	47081
441	130823	46765
442	131082	46455
443	131317	46138
444	131579	45831
445	131812	45513
446	132067	45204
447	132328	44897
448	132588	44589
449	132847	44282
450	133104	43974
451	133356	43665
452	133618	43359
453	133882	43054
454	134137	42747
455	134394	42440
456	134659	42136
457	134914	41829
458	135166	41521
459	135422	41215
460	135680	40910
461	135920	40599
462	136181	40295
463	136421	39985
464	136673	39679
465	136933	39375
466	137198	39073
467	137451	38768
468	137701	38462
469	137960	38159
470	138224	37857
471	138450	37545
472	138693	37239
473	138938	36933
474	139193	36629
475	139464	36331
476	139727	36030
477	139965	35723
478	140234	35424
479	140489	35122
480	140746	34820
481	140999	34518
482	141271	34221
483	141531	33920
484	141789	33620
485	142046	33319
486	142296	33017
487	142549	32716
488	142777	32409
489	143034	32109
490	143298	31811
491	143555	31512
492	143804	31211
493	144064	30912
494	144323	30614
495	144629	30325
496	144886	30026
497	145150	29729
498	145404	29430
499	145660	29132
500	145913	28833
501	146160	28533
502	146415	28235
503	146671	27937
504	146944	27643
505	147228	27350
506	147491	27054
507	147785	26764
508	148069	26472
509	148380	26184
510	148672	25894
511	148941	25599
512	149216	25305
513	149485	25011
514	149743	24714
515	149999	24418
516	150261	24123
517	150516	23826
518	150776	23531
519	151028	23235
520	151282	22939
521	151533	22642
522	151817	22351
523	152101	22060
524	152375	21767
525	152678	21479
526	153018	21196
527	153316	20906
528	153621	20618
529	153932	20330
530	154242	20042
531	154521	19750
532	154795	19458
533	155050	19163
534	155311	18869
535	155589	18577
536	155846	18283
537	156090	17988
538	156313	17690
539	156580	17397
540	156851	17105
541	157137	16815
542	157398	16522
543	157673	16231
544	157916	15936
545	158142	15640
546	158393	15347
547	158637	15053
548	158887	14760
549	159231	14475
550	159505	14184
551	159755	13891
552	159996	13598
553	160245	13305
554	160479	13011
555	160746	12720
556	161006	12429
557	161253	12137
558	161516	11846
559	161763	11554
560	162021	11263
561	162261	10971
562	162523	10680
563	162766	10389
564	163030	10099
565	163289	9808
566	163537	9518
567	163789	9227
568	164034	8936
569	164299	8647
570	164550	8357
571	164813	8067
572	165072	7778
573	165459	7494
574	165733	7205
575	166036	6918
576	166316	6629
577	166598	6341
578	166881	6052
579	167189	5765
580	167541	5478
581	168006	5196
582	168339	4908
583	168680	4621
584	169075	4335
585	169394	4046
586	169722	3758
587	170048	3470
588	170352	3181
589	170665	2892
590	170963	2603
591	171248	2314
592	171551	2025
593	171886	1736
594	172230	1447
595	172556	1158
596	172848	868
597	173180	579
598	173510	289
599	173797	0
