iter	MultiClass
302	0.07332874509
303	0.07285744821
304	0.07271853297
305	0.07242045496
306	0.07217392577
307	0.07201834668
308	0.07186912103
309	0.07155468685
310	0.07123638148
311	0.07105215906
312	0.07066711893
313	0.07038431095
314	0.07020080902
315	0.06987189467
316	0.06959925874
317	0.06939061263
318	0.06921475179
319	0.06878756827
320	0.06861362679
321	0.06827355455
322	0.06802900995
323	0.06768089319
324	0.06741202406
325	0.06718926046
326	0.06688524701
327	0.06665369066
328	0.06643521687
329	0.0661861978
330	0.06586300009
331	0.0657450704
332	0.06562471895
333	0.06542585496
334	0.06526953494
335	0.06506493263
336	0.06490287062
337	0.0646755406
338	0.06451483748
339	0.06433610821
340	0.06416362677
341	0.06390461096
342	0.06371081908
343	0.0634175457
344	0.06329271745
345	0.06307078624
346	0.06297128949
347	0.06278964552
348	0.06261581721
349	0.06228717498
350	0.06212419577
351	0.06189702998
352	0.0616828111
353	0.06149260078
354	0.06139015586
355	0.06114024298
356	0.06095594089
357	0.0607614514
358	0.0606405274
359	0.06046232528
360	0.06018926299
361	0.05994666157
362	0.05974778985
363	0.05960163111
364	0.05944530039
365	0.05930667386
366	0.05911611378
367	0.05900836789
368	0.05877599022
369	0.05860381541
370	0.05846804654
371	0.05818744531
372	0.05804119839
373	0.05786208196
374	0.05765536709
375	0.05737158381
376	0.05724975973
377	0.05712108445
378	0.05698267755
379	0.05689105317
380	0.05658934148
381	0.05630325672
382	0.05610364151
383	0.05587754608
384	0.05574240648
385	0.05566524171
386	0.05548971349
387	0.05534601767
388	0.05522200349
389	0.0549949141
390	0.05485194516
391	0.05469280112
392	0.05452580514
393	0.05440501243
394	0.05428744227
395	0.05404100362
396	0.05385402191
397	0.05370815991
398	0.05351037575
399	0.05335858593
400	0.05316793102
401	0.05299746471
402	0.05290612015
403	0.05266127475
404	0.05252016874
405	0.05244422663
406	0.05218229148
407	0.0520775347
408	0.05191861527
409	0.05172213414
410	0.05154104708
411	0.05149379446
412	0.05120734664
413	0.05105967223
414	0.05096011691
415	0.05083722408
416	0.0507700698
417	0.05066616305
418	0.05056235701
419	0.05039382098
420	0.05026230109
421	0.05010297683
422	0.04998441053
423	0.04986250444
424	0.04969175124
425	0.04957920544
426	0.04949549993
427	0.04941778839
428	0.0493151681
429	0.04920217242
430	0.04910189269
431	0.04886991024
432	0.04869704202
433	0.04856437952
434	0.04846109687
435	0.04840497359
436	0.04832534067
437	0.04820244803
438	0.04810491405
439	0.04804550402
440	0.04796101662
441	0.0478735687
442	0.04774737194
443	0.04753985658
444	0.0473508127
445	0.04713606393
446	0.04705597849
447	0.04694444321
448	0.04679599564
449	0.04671417578
450	0.04657749327
451	0.04642483115
452	0.04627076598
453	0.04615118184
454	0.04595950426
455	0.04577138293
456	0.04564923448
457	0.04554778214
458	0.04547873439
459	0.04536586678
460	0.04530008212
461	0.04519927108
462	0.04509007663
463	0.04492145505
464	0.04485238742
465	0.04477353442
466	0.04468782011
467	0.04451522693
468	0.04439328698
469	0.04430080386
470	0.04414013916
471	0.04399961299
472	0.04384991808
473	0.0437457239
474	0.04368075381
475	0.0435079627
476	0.04337177621
477	0.04321082962
478	0.04307762014
479	0.04294858293
480	0.04286827881
481	0.04275179424
482	0.0426420351
483	0.04253355712
484	0.04242423429
485	0.04225908735
486	0.04220103428
487	0.04208425996
488	0.04191128021
489	0.04184842807
490	0.04173241358
491	0.04165797609
492	0.04157433042
493	0.04148967313
494	0.04133788542
495	0.04114547889
496	0.04106161396
497	0.04089594878
498	0.04072801771
499	0.04057455545
500	0.04047094238
501	0.04031943032
502	0.04025334922
503	0.04014574407
504	0.04004028569
505	0.0399503265
506	0.03985640204
507	0.03971342835
508	0.03965614145
509	0.03959701347
510	0.03949224407
511	0.0393896552
512	0.03933633297
513	0.03925593859
514	0.0391859441
515	0.03907669682
516	0.03899178672
517	0.03888420006
518	0.03873692457
519	0.03863677947
520	0.03855625158
521	0.03831675203
522	0.03823284496
523	0.03816919574
524	0.03803178087
525	0.03797805387
526	0.03790361195
527	0.03783838711
528	0.03770958074
529	0.03762788641
530	0.03754578126
531	0.03746870659
532	0.03738887622
533	0.03735671642
534	0.03726820411
535	0.03717247968
536	0.03711644686
537	0.03699953861
538	0.03686721798
539	0.03677563546
540	0.03668240617
541	0.03658173952
542	0.03649813511
543	0.03640785201
544	0.03633823456
545	0.03618361467
546	0.03611367818
547	0.03602484685
548	0.03593544065
549	0.03585218585
550	0.03581601451
551	0.03567638621
552	0.03551821035
553	0.03546555128
554	0.03534787138
555	0.03525584555
556	0.03518549157
557	0.03511936769
558	0.03506615692
559	0.03499391527
560	0.03494321497
561	0.03487559048
562	0.03481477835
563	0.03473128001
564	0.03464318751
565	0.03458053825
566	0.03446036399
567	0.03439675094
568	0.03433642335
569	0.03424550582
570	0.03420656781
571	0.03415433393
572	0.03405578093
573	0.0339943429
574	0.03388342838
575	0.0338217589
576	0.03377685113
577	0.03368994357
578	0.0336399878
579	0.03356733417
580	0.03352333004
581	0.03345329819
582	0.0334022689
583	0.03329553468
584	0.03322958553
585	0.03315750088
586	0.03308285892
587	0.03306980496
588	0.03299215761
589	0.0329013618
590	0.03288340092
591	0.0328402386
592	0.03277666238
593	0.03265189634
594	0.03258719124
595	0.03252058185
596	0.0324282319
597	0.03238338742
598	0.03233277006
599	0.03225520439
