iter	MultiClass
0	1.262000142
1	1.167756943
2	1.08806435
3	1.022338868
4	0.9658330203
5	0.9177494566
6	0.8746770197
7	0.837495015
8	0.8052191556
9	0.7760944564
10	0.7483881102
11	0.7228834707
12	0.700287412
13	0.6759333708
14	0.6527256642
15	0.6341628397
16	0.61672033
17	0.5999410628
18	0.5864197027
19	0.574869511
20	0.5605930903
21	0.5485696879
22	0.5390236148
23	0.5272330595
24	0.5131909073
25	0.5007106508
26	0.4873696602
27	0.4791249849
28	0.4715789582
29	0.4630775427
30	0.4525747401
31	0.4429967043
32	0.4352161344
33	0.4289046465
34	0.422450371
35	0.4154725425
36	0.4069808879
37	0.4029573317
38	0.4001306949
39	0.3923525274
40	0.3879258952
41	0.3838443648
42	0.378494361
43	0.3737979246
44	0.3676349959
45	0.3629844408
46	0.3588669681
47	0.3557113212
48	0.3523779403
49	0.3480372273
50	0.3447090431
51	0.3424740482
52	0.3386978122
53	0.3364461792
54	0.3347989145
55	0.3288941301
56	0.3235609655
57	0.3209077968
58	0.31715727
59	0.3133474421
60	0.3116777324
61	0.3066839947
62	0.3035412603
63	0.2990487025
64	0.2968076407
65	0.2953792661
66	0.2919626992
67	0.2888130411
68	0.2876687179
69	0.2849016491
70	0.2828360605
71	0.2804897901
72	0.276754962
73	0.2726815226
74	0.2714512642
75	0.269003885
76	0.2672658822
77	0.2653265688
78	0.2630646405
79	0.2605760324
80	0.2585444543
81	0.2558280867
82	0.2533621348
83	0.251689147
84	0.2498580989
85	0.2474928796
86	0.244350671
87	0.2430857852
88	0.2409866043
89	0.239804794
90	0.2387240144
91	0.2370535734
92	0.2344788072
93	0.2318671402
94	0.2298280016
95	0.2281354158
96	0.2267347053
97	0.2256225987
98	0.2229272646
99	0.2210888486
100	0.2187354768
101	0.2160646945
102	0.2135330741
103	0.2120438651
104	0.2094647961
105	0.2078850754
106	0.2066371111
107	0.2045917607
108	0.2032644259
109	0.2018128706
110	0.2008435907
111	0.1996121103
112	0.1979603939
113	0.1966986817
114	0.1962256293
115	0.1941822499
116	0.1931435034
117	0.191955178
118	0.1910880141
119	0.18960651
120	0.1884564389
121	0.1874413537
122	0.1858242718
123	0.1851956696
124	0.1838269188
125	0.1827527607
126	0.1817724417
127	0.1807405096
128	0.1793651305
129	0.178873515
130	0.1777634403
131	0.1768408787
132	0.1758141621
133	0.1748379438
134	0.174149109
135	0.1733790539
136	0.1718067539
137	0.1709704765
138	0.1694556287
139	0.1683559596
140	0.1676709936
141	0.1664320994
142	0.1653525314
143	0.1642538626
144	0.1631278833
145	0.16202743
146	0.1615506917
147	0.160343047
148	0.1593404987
149	0.1578045223
150	0.1573159036
151	0.1563693378
152	0.1548182167
153	0.153923802
154	0.1526593501
155	0.151233017
156	0.1501261967
157	0.1486861036
158	0.1477654243
159	0.1471132671
160	0.1465735061
161	0.1458016726
162	0.1444138951
163	0.143320075
164	0.1423987462
165	0.141465821
166	0.140502467
167	0.1401829457
168	0.1397481584
169	0.1391896031
170	0.13871011
171	0.1377167199
172	0.1366778095
173	0.1357843832
174	0.1352890419
175	0.1344072849
176	0.1333839262
177	0.1326163082
178	0.1321726223
179	0.1314171111
180	0.1305477741
181	0.1299730635
182	0.1293229927
183	0.1283004733
184	0.1276925133
185	0.1267662987
186	0.125671759
187	0.1250350669
188	0.1244616471
189	0.1237934754
190	0.1231939315
191	0.122767109
192	0.1223509437
193	0.1215297747
194	0.1207887093
195	0.1202361312
196	0.1196998262
197	0.1188925538
198	0.1180304773
199	0.1172556575
200	0.1165859213
201	0.1161672547
202	0.1152153748
203	0.1144472907
204	0.1138318168
205	0.1128533223
206	0.1124898376
207	0.111842658
208	0.1108748759
209	0.1102914553
210	0.1095216818
211	0.1090189736
212	0.1087009629
213	0.1082543565
214	0.1077122903
215	0.1069072061
216	0.106180185
217	0.1058235743
218	0.1053407379
219	0.1047959816
220	0.1041705003
221	0.1036288457
222	0.1030071709
223	0.1023784802
224	0.1021236266
225	0.1014950934
226	0.10104968
227	0.1005466266
228	0.09995294658
229	0.09937583271
230	0.09915155445
231	0.09873712952
232	0.09803550954
233	0.0976092196
234	0.09720392892
235	0.09679127747
236	0.09622689132
237	0.09582455616
238	0.09512786037
239	0.09462099129
240	0.09408268687
241	0.09354927057
242	0.09294483333
243	0.09247701597
244	0.09195419834
245	0.09164767541
246	0.09118704066
247	0.09055892888
248	0.09016072768
249	0.08956427939
250	0.08920233917
251	0.08893909461
252	0.08864177952
253	0.08847197363
254	0.08805953858
255	0.08757179796
256	0.08727752125
257	0.08686392697
258	0.0862771763
259	0.08595145384
260	0.08560968418
261	0.08530427719
262	0.08499542715
263	0.08468262962
264	0.08411702501
265	0.08379234697
266	0.08340070279
267	0.08311511741
268	0.08276099653
269	0.08236601423
270	0.08207840997
271	0.08176823498
272	0.08134309325
273	0.08110635391
274	0.08081171247
275	0.08057948634
276	0.08029306805
277	0.07998210453
278	0.07965456029
279	0.07937001511
280	0.07890594093
281	0.07869789936
282	0.07847344416
283	0.07824262987
284	0.07788131492
285	0.07767812541
286	0.0775146969
287	0.07735612723
288	0.07719862842
289	0.077088567
290	0.07682388841
291	0.07646713037
292	0.07619781899
293	0.07573880831
294	0.0755750794
295	0.07530484317
296	0.07502556341
297	0.07475139543
298	0.07455597253
299	0.07430821623
300	0.07417341428
301	0.07386618106
